Rk,School,G,Pts,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_1D,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Year
2,Michigan,13,14.1,11.0,25.2,43.6,142.5,0.8,37.0,119.2,3.2,0.7,62.2,261.8,4.2,5.5,7.0,1.8,14.3,5.4,41.8,0.5,1.0,1.5,2016
3,Ohio State,13,15.5,15.1,30.8,48.9,172.2,0.8,36.6,127.9,3.5,0.6,67.5,300.2,4.4,8.0,6.8,0.6,15.4,4.5,41.2,0.5,1.6,2.1,2016
4,Wisconsin,14,15.6,16.4,31.1,52.5,202.6,0.9,30.1,98.8,3.3,0.6,61.2,301.4,4.9,9.3,5.9,1.1,16.4,4.4,34.9,0.4,1.6,2.0,2016
5,LSU,12,15.8,16.2,30.3,53.3,197.2,0.8,35.8,117.3,3.3,0.6,66.1,314.4,4.8,8.3,6.4,1.3,16.0,5.3,41.8,0.7,0.8,1.4,2016
6,Florida,13,16.8,11.4,25.2,45.1,148.5,0.6,37.5,144.5,3.8,1.2,62.8,293.0,4.7,6.4,7.4,2.1,15.8,4.3,35.8,0.6,1.2,1.8,2016
7,Auburn,13,17.1,20.8,35.8,57.9,229.2,1.1,35.5,132.8,3.7,0.6,71.4,361.9,5.1,10.5,7.3,1.4,19.2,6.1,49.2,0.5,0.8,1.3,2016
8,Washington,14,17.7,18.4,32.1,57.2,182.9,0.9,36.7,133.9,3.6,1.1,68.8,316.9,4.6,8.5,7.0,2.1,17.6,6.1,50.3,1.0,1.4,2.4,2016
9,Appalachian State,13,17.8,19.6,34.2,57.4,203.8,0.9,31.8,125.5,3.9,1.2,66.0,329.3,5.0,9.6,6.4,1.8,17.8,5.9,53.4,0.2,1.5,1.7,2016
10,Clemson,15,18.0,16.8,32.1,52.4,181.9,0.9,35.0,129.6,3.7,1.3,67.1,311.5,4.6,7.7,6.8,2.5,17.0,7.9,67.5,0.5,1.3,1.8,2016
11,Temple,14,18.4,13.0,24.4,53.2,152.1,0.9,36.4,130.5,3.6,1.2,60.8,282.6,4.6,6.9,7.2,1.3,15.4,5.8,47.4,0.9,0.9,1.8,2016
12,Miami (FL),13,18.5,20.2,34.3,58.7,213.8,1.3,38.2,133.1,3.5,0.8,72.5,346.8,4.8,9.5,7.8,1.5,18.8,7.1,61.4,0.8,0.6,1.5,2016
13,Iowa,13,18.8,15.5,30.8,50.4,201.4,1.4,37.8,149.8,4.0,0.8,68.7,351.2,5.1,8.8,8.2,1.2,18.2,5.2,40.2,0.7,0.7,1.4,2016
14,Brigham Young,13,19.5,20.8,33.0,63.2,252.2,1.3,33.1,114.4,3.5,1.1,66.1,366.5,5.5,11.0,6.0,1.8,18.8,6.3,57.5,0.8,1.6,2.4,2016
15,Army,13,19.8,14.7,26.0,56.5,170.2,1.1,31.2,121.2,3.9,1.3,57.2,291.5,5.1,7.0,6.7,0.8,14.5,6.2,49.5,0.4,1.3,1.7,2016
16,Western Michigan,14,19.8,15.9,28.2,56.5,200.1,1.2,32.5,153.6,4.7,1.2,60.7,353.6,5.8,8.9,7.9,1.1,17.9,5.9,48.8,0.8,1.1,1.9,2016
17,San Diego State,14,20.2,17.1,31.8,53.9,209.7,1.6,34.3,105.7,3.1,0.7,66.1,315.4,4.8,9.0,6.6,1.4,16.9,5.2,48.1,0.2,1.9,2.1,2016
18,Stanford,13,20.4,18.4,33.6,54.7,223.6,1.4,34.8,145.8,4.2,1.2,68.4,369.4,5.4,9.9,8.2,1.5,19.5,6.7,58.2,0.5,1.1,1.5,2016
19,Arkansas State,13,21.5,17.7,32.6,54.2,219.5,1.2,40.2,143.4,3.6,1.0,72.8,362.8,5.0,9.6,7.5,2.2,19.3,6.8,54.8,0.8,0.8,1.7,2016
20,Colorado,14,21.7,16.7,33.6,49.7,193.1,1.3,36.4,149.7,4.1,1.0,70.0,342.9,4.9,9.1,7.1,1.4,17.6,5.8,51.7,0.8,1.1,1.9,2016
21,Minnesota,13,22.1,21.1,37.5,56.3,230.9,1.7,34.8,117.8,3.4,0.9,72.3,348.8,4.8,9.9,7.3,1.8,19.0,4.7,42.1,1.2,0.7,1.9,2016
22,Troy,13,22.1,19.5,37.1,52.7,246.4,1.5,35.5,120.2,3.4,1.0,72.6,366.5,5.0,10.5,7.2,1.7,19.2,7.6,62.8,0.6,1.7,2.3,2016
23,Northwestern,13,22.2,23.3,38.2,61.1,265.2,1.0,36.8,139.2,3.8,1.5,74.9,404.4,5.4,12.0,8.7,0.8,21.5,4.7,45.6,0.7,1.2,1.9,2016
24,Wake Forest,13,22.2,18.5,32.2,57.7,228.2,1.2,37.3,142.4,3.8,1.5,69.5,370.5,5.3,9.9,8.2,1.2,19.3,5.4,47.5,1.2,0.9,2.1,2016
25,Kansas State,13,22.3,22.8,36.5,62.7,272.7,2.0,30.6,115.8,3.8,0.8,67.1,388.5,5.8,11.9,6.8,1.4,20.2,6.5,61.0,0.7,1.2,1.9,2016
26,Ohio,14,22.6,22.0,34.9,63.0,255.8,1.8,35.4,104.4,3.0,0.9,70.3,360.2,5.1,10.9,6.9,1.3,19.1,6.5,63.4,0.8,1.1,1.9,2016
27,North Carolina State,13,22.8,21.2,36.2,58.5,244.2,1.2,32.5,109.3,3.4,1.4,68.7,353.5,5.1,10.8,6.2,2.0,19.1,6.0,50.1,0.9,0.8,1.7,2016
28,Virginia Tech,14,22.8,15.4,30.8,50.1,200.2,1.3,37.4,140.5,3.8,1.6,68.2,340.7,5.0,8.3,7.0,1.9,17.3,8.1,58.9,0.6,1.1,1.8,2016
29,Boise State,13,23.3,20.6,33.8,60.9,213.0,1.5,40.8,176.2,4.3,0.9,74.7,389.2,5.2,9.2,11.1,1.1,21.4,7.6,61.6,0.2,0.5,0.7,2016
30,Houston,13,23.5,18.1,32.2,56.1,219.5,1.5,34.4,100.2,2.9,1.2,66.6,319.6,4.8,9.5,5.7,1.2,16.4,5.7,48.6,0.8,0.5,1.4,2016
31,Louisville,13,23.8,17.2,31.6,54.5,207.1,2.2,37.2,115.2,3.1,0.5,68.8,322.2,4.7,8.8,6.5,2.2,17.5,5.9,56.8,0.8,1.2,1.9,2016
32,Miami (OH),13,23.8,18.3,31.4,58.3,208.8,1.2,35.9,144.5,4.0,1.6,67.3,353.4,5.3,9.1,8.8,2.2,20.1,4.7,49.5,0.5,1.1,1.6,2016
33,Nebraska,13,23.9,19.5,32.5,60.2,215.8,1.2,33.2,148.0,4.5,1.7,65.7,363.8,5.5,9.3,7.0,1.5,17.8,5.0,44.5,0.2,1.2,1.5,2016
34,Utah,13,23.9,19.5,35.8,54.5,254.3,1.8,32.9,128.7,3.9,1.0,68.8,383.0,5.6,11.2,6.8,1.5,19.5,5.4,44.5,0.9,1.4,2.3,2016
35,Georgia,13,24.0,15.4,26.1,59.0,183.8,1.1,36.2,143.7,4.0,1.8,62.2,327.5,5.3,7.4,7.8,0.8,16.0,5.0,39.8,0.9,1.2,2.1,2016
36,Vanderbilt,13,24.0,20.8,34.1,61.2,244.6,1.5,35.0,163.5,4.7,1.1,69.1,408.2,5.9,10.6,8.3,1.5,20.5,6.2,55.8,1.1,0.4,1.5,2016
37,West Virginia,13,24.0,20.8,36.8,56.7,257.7,1.6,39.8,168.2,4.2,1.1,76.5,425.9,5.6,11.1,9.1,1.7,21.9,7.3,68.5,0.8,1.1,1.9,2016
38,USC,13,24.2,19.2,33.8,56.9,227.5,1.8,34.5,139.6,4.1,1.2,68.2,367.2,5.4,10.0,7.1,2.0,19.1,4.8,45.2,0.5,1.1,1.5,2016
39,Georgia Tech,13,24.5,20.8,33.4,62.2,229.4,1.1,36.4,172.2,4.7,1.8,69.8,401.6,5.8,11.3,9.4,0.9,21.6,5.1,41.2,0.6,0.8,1.5,2016
40,Texas A&M,13,24.5,20.9,35.5,58.9,250.0,1.2,44.1,191.8,4.4,1.6,79.6,441.8,5.5,10.9,10.2,2.4,23.5,6.3,44.2,0.9,0.9,1.8,2016
41,UCF,13,24.6,17.2,33.2,51.6,200.8,1.2,44.3,169.5,3.8,1.7,77.5,370.3,4.8,8.7,9.5,1.4,19.6,6.2,57.0,0.8,1.2,2.0,2016
42,Western Kentucky,14,24.6,23.4,39.9,58.8,279.4,1.8,32.6,97.2,3.0,1.1,72.4,376.6,5.2,11.8,5.8,2.4,20.0,6.9,55.7,0.5,1.0,1.5,2016
43,North Carolina,13,24.9,14.1,25.2,55.8,180.8,0.8,50.7,227.3,4.5,2.2,75.9,408.1,5.4,8.4,11.8,1.8,21.9,7.2,61.7,1.0,0.1,1.1,2016
44,Boston College,13,25.0,16.4,29.3,55.9,205.6,2.2,32.3,108.6,3.4,1.2,61.6,314.2,5.1,8.2,5.2,2.1,15.5,5.6,47.0,1.2,0.9,2.1,2016
45,Florida State,13,25.0,17.2,31.1,55.4,221.1,1.4,35.2,128.0,3.6,1.5,66.2,349.1,5.3,9.6,6.8,2.4,18.8,6.6,59.1,0.6,1.2,1.8,2016
46,Louisiana,13,25.3,20.8,33.8,61.7,249.9,1.4,37.6,129.6,3.4,1.4,71.4,379.5,5.3,12.0,7.2,1.2,20.4,6.2,53.0,0.6,0.8,1.4,2016
47,Penn State,14,25.4,20.9,33.7,61.9,216.6,1.3,39.4,151.3,3.8,1.6,73.1,367.9,5.0,10.0,7.8,1.8,19.6,7.2,62.8,0.8,0.7,1.5,2016
48,Toledo,13,25.7,17.5,31.8,54.8,220.8,1.8,36.3,176.3,4.9,1.2,68.2,397.1,5.8,9.7,8.5,1.5,19.7,6.5,69.3,0.3,0.5,0.8,2016
49,Air Force,13,26.2,15.5,29.5,52.5,251.8,1.8,33.5,114.2,3.4,1.5,63.0,366.0,5.8,9.8,5.9,1.8,17.5,5.4,40.8,0.6,1.2,1.8,2016
50,Washington State,13,26.4,21.4,34.2,62.5,271.7,1.5,32.8,134.5,4.1,1.6,67.1,406.2,6.1,11.6,6.8,1.8,20.3,7.5,72.9,0.8,0.9,1.8,2016
51,Georgia Southern,12,26.5,17.5,29.6,59.2,229.5,1.3,36.7,170.6,4.7,1.8,66.3,400.1,6.0,9.7,9.4,2.1,21.2,5.1,51.4,0.8,0.8,1.6,2016
52,Oklahoma State,13,26.5,20.2,33.2,61.0,252.8,1.7,42.2,193.5,4.6,1.7,75.3,446.3,5.9,11.0,9.7,1.9,22.6,5.3,46.6,0.8,1.1,1.9,2016
53,South Carolina,13,26.5,18.7,31.0,60.3,208.7,1.5,42.2,203.5,4.8,1.5,73.2,412.2,5.6,10.3,11.1,1.5,23.0,6.4,56.2,0.9,1.2,2.1,2016
54,Georgia State,12,26.6,16.1,29.6,54.4,173.9,0.7,48.0,206.8,4.3,2.1,77.6,380.7,4.9,9.2,11.5,1.6,22.3,5.8,51.9,0.6,0.9,1.5,2016
55,Cincinnati,12,26.9,19.9,32.4,61.4,233.3,1.5,46.8,189.8,4.1,1.4,79.2,423.0,5.3,11.3,11.1,1.5,23.9,5.0,44.8,0.6,1.4,2.0,2016
56,South Alabama,13,27.0,14.5,24.1,60.1,174.6,1.1,44.9,215.5,4.8,2.0,69.0,390.2,5.7,9.1,11.4,2.0,22.5,5.7,47.0,0.8,0.8,1.5,2016
57,Indiana,13,27.2,16.8,32.1,52.5,219.7,1.3,42.6,160.4,3.8,1.5,74.7,380.1,5.1,9.5,8.6,1.4,19.5,6.8,56.5,0.8,1.0,1.8,2016
58,Old Dominion,13,27.2,18.8,32.2,58.6,226.8,1.6,38.5,157.2,4.1,1.9,70.7,383.9,5.4,10.7,9.1,1.6,21.4,5.2,45.8,0.9,0.8,1.8,2016
59,UCLA,12,27.5,20.4,36.8,55.6,210.5,1.0,41.9,171.5,4.1,1.8,78.7,382.0,4.9,10.8,8.8,2.8,22.3,6.8,63.8,0.7,1.3,1.9,2016
60,Tulane,12,27.7,15.6,28.7,54.4,205.3,1.4,39.1,160.3,4.1,1.7,67.8,365.6,5.4,8.2,8.3,1.5,18.0,5.5,48.8,1.3,1.0,2.3,2016
61,Michigan State,12,27.8,16.5,27.7,59.6,206.2,1.6,38.3,158.7,4.1,1.8,66.0,364.8,5.5,9.0,7.7,1.9,18.6,4.2,38.6,0.4,0.7,1.1,2016
62,Notre Dame,12,27.8,16.1,26.1,61.7,196.4,1.2,44.1,182.4,4.1,1.9,70.2,378.8,5.4,8.5,10.0,1.8,20.3,5.7,50.5,0.5,0.7,1.2,2016
63,UTSA,13,27.9,17.2,31.4,54.9,229.5,1.7,37.5,162.5,4.3,1.6,68.8,392.0,5.7,9.8,8.8,2.2,20.8,5.8,50.5,0.8,0.5,1.4,2016
64,TCU,13,28.0,18.8,32.9,57.0,238.9,1.5,44.3,188.0,4.2,1.8,77.2,426.9,5.5,9.8,10.0,1.2,21.1,5.9,48.2,0.6,0.6,1.2,2016
65,Connecticut,12,28.1,22.1,34.5,64.0,264.7,1.7,37.3,146.3,3.9,1.6,71.8,410.9,5.7,12.4,7.4,1.1,20.9,4.9,41.8,0.3,0.6,0.9,2016
66,Duke,12,28.2,14.8,26.8,55.0,239.8,1.8,39.1,174.9,4.5,1.6,65.9,414.7,6.3,8.5,8.6,0.9,18.0,6.0,48.8,0.8,0.8,1.6,2016
67,Kent State,12,28.7,15.3,29.4,51.8,196.8,1.3,44.8,189.8,4.2,2.0,74.2,386.5,5.2,8.8,11.2,1.8,21.7,4.8,45.8,1.0,1.0,2.0,2016
68,Memphis,13,28.8,23.4,38.1,61.4,249.7,1.5,40.8,204.9,5.0,2.2,78.8,454.6,5.8,11.3,10.5,1.9,23.8,6.5,59.8,1.0,1.2,2.2,2016
69,Oklahoma,13,28.8,20.8,38.1,54.7,269.4,2.2,35.8,162.6,4.5,1.2,73.8,432.0,5.9,11.2,8.6,1.5,21.2,6.7,54.1,0.6,0.7,1.3,2016
70,Tennessee,13,28.8,18.3,33.2,55.1,230.7,1.4,43.7,218.5,5.0,2.2,76.9,449.2,5.8,10.3,10.5,1.7,22.5,6.4,51.7,1.0,0.8,1.8,2016
71,Baylor,13,29.0,17.4,31.7,54.9,230.2,1.3,47.7,200.7,4.2,2.3,79.4,430.8,5.4,9.8,10.2,2.2,22.3,5.9,47.8,0.8,0.9,1.7,2016
72,Nevada,12,29.0,11.8,19.9,59.4,158.4,1.0,48.7,297.8,6.1,2.7,68.6,456.2,6.7,7.3,14.1,0.7,22.1,6.1,55.6,0.8,0.4,1.3,2016
73,Utah State,12,29.3,15.1,26.1,57.8,176.5,1.7,46.5,203.3,4.4,1.6,72.6,379.8,5.2,7.3,12.0,2.2,21.4,7.1,64.4,0.3,0.6,0.8,2016
74,Maryland,13,29.5,17.0,30.3,56.1,212.3,1.5,45.1,214.8,4.8,2.4,75.4,427.1,5.7,9.9,11.0,2.1,23.0,6.2,56.3,0.5,0.4,0.9,2016
75,Southern Mississippi,13,29.5,13.1,24.0,54.5,174.9,1.5,32.8,149.9,4.6,2.2,56.8,324.8,5.7,6.4,6.9,1.5,14.8,6.6,58.5,0.4,0.8,1.2,2016
76,Eastern Michigan,13,29.8,21.5,35.5,60.5,265.2,1.9,38.6,167.5,4.3,1.8,74.1,432.7,5.8,12.2,9.5,2.2,23.9,5.6,54.2,1.0,0.8,1.8,2016
77,Tulsa,13,29.8,20.0,37.5,53.4,250.2,1.2,40.5,176.3,4.4,2.2,77.9,426.5,5.5,10.6,8.2,1.2,20.1,7.6,66.2,0.8,0.8,1.6,2016
78,Ball State,12,30.1,25.1,40.0,62.7,319.7,2.3,33.8,150.6,4.5,1.3,73.8,470.3,6.4,13.8,7.8,1.3,22.8,5.8,49.7,0.6,0.6,1.2,2016
79,Central Michigan,13,30.3,19.1,31.8,59.9,222.9,2.5,36.5,169.0,4.6,1.2,68.3,391.9,5.7,10.3,8.3,1.3,19.9,4.5,45.1,0.4,1.0,1.4,2016
80,Northern Illinois,12,30.3,19.7,34.7,56.7,250.7,2.1,43.3,200.8,4.6,2.0,78.0,451.5,5.8,11.9,10.1,2.6,24.4,6.9,69.3,0.2,1.2,1.3,2016
81,Colorado State,13,30.4,14.3,24.3,58.9,205.6,1.4,44.3,214.1,4.8,2.5,68.6,419.7,6.1,9.3,10.1,1.3,20.7,6.1,48.4,0.5,0.6,1.1,2016
82,Oregon State,12,30.5,18.8,33.5,56.2,211.2,1.3,41.0,218.0,5.3,2.1,74.5,429.2,5.8,9.8,11.1,2.2,23.1,5.8,54.3,1.1,0.6,1.7,2016
83,Fresno State,12,30.9,13.3,22.5,58.9,167.4,1.8,50.1,248.7,5.0,2.1,72.6,416.1,5.7,6.7,13.9,1.2,21.8,5.8,52.0,0.3,0.4,0.8,2016
84,Navy,14,31.0,19.1,29.5,64.6,254.1,2.1,39.0,179.9,4.6,1.6,68.5,434.0,6.3,11.5,9.7,0.7,21.9,4.3,35.3,0.8,0.5,1.3,2016
85,Arkansas,13,31.1,16.8,28.5,58.9,221.2,0.9,34.5,206.3,6.0,3.0,63.0,427.5,6.8,9.5,8.8,0.8,19.2,4.4,41.2,0.8,0.8,1.6,2016
86,Idaho,13,31.3,21.7,34.4,63.1,283.1,2.4,34.2,146.0,4.3,1.3,68.5,429.1,6.3,11.8,8.4,2.2,22.4,6.2,50.1,0.8,1.3,2.2,2016
87,Iowa State,12,31.3,19.6,32.1,61.0,234.8,2.1,43.8,218.2,5.0,1.9,75.9,452.9,6.0,10.5,12.3,1.7,24.4,5.2,49.9,0.3,0.8,1.1,2016
88,Kentucky,13,31.3,15.5,27.1,57.4,206.1,1.5,44.2,230.8,5.2,1.9,71.3,436.8,6.1,9.5,12.1,1.2,22.7,6.5,51.4,0.6,1.0,1.6,2016
89,Missouri,12,31.5,20.1,34.8,57.7,246.8,1.4,44.2,233.3,5.3,2.3,79.0,480.1,6.1,11.1,10.0,1.7,22.8,6.3,50.7,0.4,1.3,1.7,2016
90,New Mexico,13,31.5,15.5,26.5,58.3,222.3,1.8,36.2,172.5,4.8,2.2,62.8,394.8,6.3,9.3,8.2,2.0,19.5,4.7,41.8,0.4,0.6,1.0,2016
91,Texas,12,31.5,20.5,33.8,60.7,258.5,1.8,45.7,190.3,4.2,1.9,79.4,448.8,5.7,10.7,10.3,2.0,23.0,6.9,61.5,0.8,0.8,1.7,2016
92,South Florida,13,31.6,23.3,39.0,59.8,285.5,1.6,43.6,196.7,4.5,2.2,82.6,482.2,5.8,12.2,11.1,1.8,25.1,4.6,41.8,0.8,1.2,2.0,2016
93,Mississippi State,13,31.8,22.4,36.3,61.7,281.5,2.5,37.2,177.8,4.8,1.3,73.5,459.3,6.3,13.2,8.5,1.2,22.9,5.2,43.2,0.7,1.1,1.8,2016
94,Illinois,12,31.9,16.2,25.7,63.0,185.9,0.9,47.4,219.2,4.6,2.9,73.1,405.1,5.5,9.3,10.5,1.7,21.5,5.2,44.8,0.9,0.6,1.5,2016
95,Buffalo,12,32.3,13.6,23.7,57.4,181.5,1.3,49.8,253.3,5.1,2.4,73.4,434.8,5.9,8.0,12.3,1.3,21.6,4.5,38.8,0.7,0.4,1.1,2016
96,North Texas,13,32.6,14.0,27.2,51.4,200.2,1.5,45.1,240.0,5.3,2.4,72.3,440.2,6.1,7.9,11.3,2.6,21.8,7.1,62.2,0.6,1.1,1.7,2016
97,Akron,12,33.6,19.9,32.5,61.3,241.3,1.8,44.4,224.8,5.1,2.3,76.9,466.2,6.1,11.6,11.3,1.7,24.5,6.7,66.7,0.5,0.7,1.2,2016
98,Louisiana Tech,14,33.6,23.1,35.3,65.4,274.7,2.4,37.4,146.2,3.9,1.9,72.7,420.9,5.8,13.1,9.3,1.6,24.0,6.4,60.9,0.6,0.6,1.3,2016
99,Virginia,12,33.8,18.4,30.1,61.2,256.6,2.1,40.4,190.0,4.7,1.7,70.5,446.6,6.3,11.3,8.5,1.8,21.5,5.9,54.7,0.7,0.8,1.4,2016
100,Ole Miss,12,34.0,17.2,29.2,58.9,214.9,1.3,45.4,246.4,5.4,2.6,74.6,461.3,6.2,9.7,11.4,1.4,22.5,6.8,57.6,0.7,0.7,1.3,2016
101,Wyoming,14,34.1,17.2,30.3,56.8,249.5,1.6,38.4,203.6,5.3,2.4,68.6,453.1,6.6,10.8,8.6,1.3,20.6,6.0,55.0,0.9,1.1,1.9,2016
102,Charlotte,12,34.6,25.8,41.3,62.5,309.8,2.4,33.8,143.4,4.2,2.0,75.2,453.3,6.0,14.1,7.9,2.2,24.2,7.4,66.7,0.6,1.3,1.9,2016
103,San Jose State,12,34.7,13.3,22.2,60.2,188.6,1.5,45.0,246.7,5.5,2.8,67.2,435.3,6.5,7.4,12.3,1.3,21.1,5.5,52.3,0.8,0.8,1.6,2016
104,Florida International,12,34.8,18.8,30.5,61.7,235.8,1.8,37.9,199.0,5.2,2.2,68.4,434.8,6.4,11.3,10.2,0.9,22.3,5.8,50.9,0.7,0.5,1.2,2016
105,UTEP,12,34.9,17.5,28.8,60.7,209.0,2.2,39.5,210.3,5.3,1.9,68.3,419.3,6.1,9.0,11.6,1.5,22.1,4.7,42.2,0.4,0.5,0.9,2016
106,Pitt,13,35.2,26.9,42.2,63.8,333.2,2.2,33.5,119.6,3.6,2.2,75.8,452.8,6.0,14.8,6.7,1.8,23.3,6.3,54.1,0.8,0.7,1.5,2016
107,Marshall,12,35.3,18.3,31.0,59.1,253.7,1.8,40.4,202.3,5.0,2.3,71.4,456.0,6.4,11.4,10.0,2.8,24.2,6.8,68.3,1.0,0.7,1.7,2016
108,Massachusetts,12,35.5,21.2,32.8,64.5,259.6,2.3,40.8,193.4,4.7,1.9,73.7,453.0,6.1,11.8,9.9,2.1,23.8,6.9,67.2,0.9,0.3,1.3,2016
109,Middle Tennessee State,13,35.8,22.0,37.8,58.2,250.8,1.8,44.3,198.8,4.5,2.8,82.1,449.5,5.5,11.5,11.5,1.5,24.5,6.1,57.7,0.6,0.8,1.5,2016
110,East Carolina,12,36.1,16.2,28.2,57.4,224.3,1.4,42.2,228.5,5.4,2.8,70.3,452.8,6.4,8.9,10.8,1.7,21.3,6.3,56.1,0.3,0.4,0.7,2016
111,SMU,12,36.3,19.9,34.0,58.6,242.5,1.8,41.5,210.5,5.1,2.5,75.5,453.0,6.0,10.3,10.7,1.3,22.3,7.7,72.2,0.7,1.5,2.2,2016
112,UNLV,12,36.8,17.5,32.9,53.2,243.2,1.9,40.3,186.9,4.6,2.5,73.3,430.1,5.9,10.7,9.8,1.8,22.3,4.3,38.1,0.8,0.4,1.3,2016
113,Hawaii,14,37.3,17.6,28.1,62.6,227.4,2.1,44.4,234.2,5.3,2.2,72.4,461.6,6.4,8.9,13.1,1.9,23.9,6.9,65.4,0.4,0.8,1.2,2016
114,Kansas,12,37.3,17.6,29.8,59.1,219.8,2.2,45.8,236.6,5.2,2.3,75.5,456.3,6.0,8.9,12.4,1.8,23.1,6.5,58.0,1.0,0.8,1.8,2016
115,Rice,12,37.3,17.8,28.2,63.3,287.7,2.1,39.6,217.2,5.5,2.5,67.8,504.8,7.5,10.3,10.0,1.2,21.5,7.6,66.9,0.5,0.4,0.9,2016
116,Rutgers,12,37.5,14.3,24.6,58.3,186.5,1.8,46.1,264.6,5.7,2.8,70.7,451.1,6.4,7.3,11.9,1.0,20.2,5.8,46.3,0.5,0.7,1.2,2016
117,Arizona,12,38.3,23.4,35.6,65.8,275.2,2.8,41.3,194.2,4.7,2.3,76.9,469.3,6.1,11.8,10.8,2.6,25.2,8.5,73.1,0.5,0.7,1.2,2016
118,Bowling Green,12,38.3,20.3,31.7,63.9,273.3,2.7,41.8,191.4,4.6,2.3,73.4,464.8,6.3,11.0,9.9,2.0,22.7,7.5,71.6,0.7,0.8,1.4,2016
119,Purdue,12,38.3,15.6,26.3,59.4,207.4,1.8,45.3,238.5,5.3,2.9,71.6,445.9,6.2,9.3,11.3,1.2,21.8,7.1,63.9,0.3,1.0,1.3,2016
120,Syracuse,12,38.6,17.9,31.1,57.6,276.1,1.7,41.2,225.5,5.5,2.9,72.3,501.6,6.9,11.6,10.1,1.3,22.9,5.3,51.2,0.8,0.8,1.6,2016
121,New Mexico State,12,38.8,19.3,30.0,64.4,252.4,1.9,45.4,244.8,5.4,2.6,75.4,497.3,6.6,11.8,11.0,1.3,24.0,5.9,56.6,0.8,1.1,1.9,2016
122,Louisiana-Monroe,12,39.1,16.0,26.8,59.6,220.1,1.8,45.3,260.4,5.7,2.6,72.2,480.5,6.7,10.0,12.7,1.7,24.3,7.3,62.6,0.6,0.5,1.1,2016
123,Arizona State,12,39.8,25.8,40.4,63.9,357.4,2.8,33.1,164.3,5.0,2.1,73.5,521.7,7.1,13.6,7.8,1.8,23.2,6.8,60.3,0.7,0.8,1.4,2016
124,Florida Atlantic,12,39.8,19.4,29.6,65.6,268.4,2.0,44.8,245.4,5.5,3.1,74.3,513.8,6.9,11.4,11.8,1.4,24.7,5.4,49.6,0.4,0.8,1.3,2016
125,Texas State,12,41.1,20.8,31.1,66.8,248.8,2.3,45.0,222.3,4.9,2.8,76.1,471.1,6.2,10.2,11.5,2.2,23.8,7.8,66.4,0.7,0.3,0.9,2016
126,Oregon,12,41.4,24.3,37.4,64.8,271.9,2.4,43.3,247.0,5.7,3.2,80.8,518.9,6.4,13.0,13.1,2.0,28.1,8.1,73.2,0.3,0.8,1.0,2016
127,California,12,42.6,19.7,32.9,59.7,245.4,2.5,44.3,272.9,6.2,2.7,77.3,518.3,6.7,11.1,13.2,2.4,26.7,8.9,76.8,0.6,0.9,1.5,2016
128,Texas Tech,12,43.5,22.6,36.9,61.2,315.8,2.3,41.7,238.6,5.7,3.1,78.6,554.3,7.1,14.3,11.5,0.9,26.8,6.5,61.8,0.7,0.4,1.1,2016
1,Alabama,14,11.9,16.4,30.4,53.8,165.7,0.6,34.7,95.7,2.8,0.6,65.1,261.4,4.0,8.1,5.4,1.8,15.4,4.4,32.5,0.4,1.4,1.7,2017
2,Clemson,14,13.6,14.9,28.3,52.5,161.9,1.1,36.6,114.9,3.1,0.4,64.9,276.7,4.3,6.4,7.1,1.4,14.8,5.3,45.3,0.4,1.0,1.4,2017
3,Wisconsin,14,13.9,13.7,28.2,48.6,163.6,0.8,31.1,98.4,3.2,0.5,59.4,262.1,4.4,6.9,5.6,1.4,14.0,5.4,47.1,0.6,1.4,2.1,2017
4,Virginia Tech,13,14.8,13.4,27.5,48.6,199.8,1.2,35.4,119.9,3.4,0.5,62.9,319.7,5.1,7.8,6.4,1.2,15.4,6.3,48.2,0.5,1.0,1.5,2017
5,Washington,13,16.1,20.9,32.1,65.2,197.2,0.8,35.2,101.7,2.9,0.8,67.3,298.8,4.4,8.8,7.2,0.8,16.8,4.2,39.5,0.7,1.2,1.8,2017
6,Georgia,15,16.4,16.3,29.1,55.8,168.9,1.3,33.7,126.0,3.7,0.5,62.9,294.9,4.7,6.9,7.2,1.5,15.6,5.2,39.7,0.5,0.8,1.3,2017
7,Penn State,13,16.5,20.2,34.5,58.4,211.5,0.9,34.6,119.4,3.4,1.1,69.2,330.8,4.8,9.4,6.7,1.3,17.4,6.2,57.8,1.2,0.8,1.9,2017
8,UTSA,11,17.0,11.6,23.7,49.0,160.1,1.2,34.0,129.3,3.8,0.9,57.7,289.4,5.0,6.8,6.9,1.4,15.1,5.2,54.1,0.8,1.2,2.0,2017
9,Wyoming,13,17.5,14.5,25.7,56.6,174.9,0.8,46.1,160.3,3.5,1.2,71.8,335.2,4.7,7.5,9.8,1.4,18.8,4.9,46.3,1.4,1.5,2.9,2017
